scenario,flowId,txPackets,rxPackets,lostPackets,delaySum,jitterSum,throughput,zone_label
Urban,449,0,0,0,0.0,0.0,0.0,1
Urban,450,0,0,0,0.0,0.0,0.0,1
Urban,451,0,0,0,0.0,0.0,0.0,1
Urban,452,0,0,0,0.0,0.0,0.0,1
Urban,453,0,0,0,0.0,0.0,0.0,1
Urban,454,0,0,0,0.0,0.0,0.0,1
Urban,455,0,0,0,0.0,0.0,0.0,1
Urban,456,0,0,0,0.0,0.0,0.0,1
Urban,457,0,0,0,0.0,0.0,0.0,1
Urban,458,0,0,0,0.0,0.0,0.0,1
Urban,459,0,0,0,0.0,0.0,0.0,1
Urban,460,0,0,0,0.0,0.0,0.0,1
Urban,461,0,0,0,0.0,0.0,0.0,1
Urban,462,0,0,0,0.0,0.0,0.0,1
Urban,463,0,0,0,0.0,0.0,0.0,1
Urban,464,0,0,0,0.0,0.0,0.0,1
Urban,465,0,0,0,0.0,0.0,0.0,1
Urban,466,0,0,0,0.0,0.0,0.0,1
Urban,467,0,0,0,0.0,0.0,0.0,1
Urban,468,0,0,0,0.0,0.0,0.0,1
Urban,469,0,0,0,0.0,0.0,0.0,1
Urban,470,0,0,0,0.0,0.0,0.0,1
Urban,471,0,0,0,0.0,0.0,0.0,1
Urban,472,0,0,0,0.0,0.0,0.0,1
Urban,473,0,0,0,0.0,0.0,0.0,1
Urban,474,0,0,0,0.0,0.0,0.0,1
Urban,475,0,0,0,0.0,0.0,0.0,1
Urban,476,0,0,0,0.0,0.0,0.0,1
Urban,477,0,0,0,0.0,0.0,0.0,1
Urban,478,0,0,0,0.0,0.0,0.0,1
Urban,479,0,0,0,0.0,0.0,0.0,1
Urban,480,0,0,0,0.0,0.0,0.0,1
Urban,481,0,0,0,0.0,0.0,0.0,1
Urban,482,0,0,0,0.0,0.0,0.0,1
Urban,483,0,0,0,0.0,0.0,0.0,1
Urban,484,0,0,0,0.0,0.0,0.0,1
Urban,485,0,0,0,0.0,0.0,0.0,1
Urban,486,0,0,0,0.0,0.0,0.0,1
Urban,487,0,0,0,0.0,0.0,0.0,1
Urban,488,0,0,0,0.0,0.0,0.0,1
Urban,489,0,0,0,0.0,0.0,0.0,1
Urban,490,0,0,0,0.0,0.0,0.0,1
Urban,491,0,0,0,0.0,0.0,0.0,1
Urban,492,0,0,0,0.0,0.0,0.0,1
Urban,493,0,0,0,0.0,0.0,0.0,1
Urban,494,0,0,0,0.0,0.0,0.0,1
Urban,495,0,0,0,0.0,0.0,0.0,1
Urban,496,0,0,0,0.0,0.0,0.0,1
Urban,497,0,0,0,0.0,0.0,0.0,1
Urban,498,0,0,0,0.0,0.0,0.0,1
Urban,499,0,0,0,0.0,0.0,0.0,1
Urban,500,0,0,0,0.0,0.0,0.0,1
Urban,501,0,0,0,0.0,0.0,0.0,1
Urban,502,0,0,0,0.0,0.0,0.0,1
Urban,503,0,0,0,0.0,0.0,0.0,1
Urban,504,0,0,0,0.0,0.0,0.0,1
Urban,505,0,0,0,0.0,0.0,0.0,1
Urban,506,0,0,0,0.0,0.0,0.0,1
Urban,507,0,0,0,0.0,0.0,0.0,1
Urban,508,0,0,0,0.0,0.0,0.0,1
Urban,509,0,0,0,0.0,0.0,0.0,1
Urban,510,0,0,0,0.0,0.0,0.0,1
Urban,511,0,0,0,0.0,0.0,0.0,1
Urban,512,0,0,0,0.0,0.0,0.0,1
Urban,513,0,0,0,0.0,0.0,0.0,1
Urban,514,0,0,0,0.0,0.0,0.0,1
Urban,515,0,0,0,0.0,0.0,0.0,1
Urban,516,0,0,0,0.0,0.0,0.0,1
Urban,517,0,0,0,0.0,0.0,0.0,1
Urban,518,0,0,0,0.0,0.0,0.0,1
Urban,519,0,0,0,0.0,0.0,0.0,1
Urban,520,0,0,0,0.0,0.0,0.0,1
Urban,521,0,0,0,0.0,0.0,0.0,1
Urban,522,0,0,0,0.0,0.0,0.0,1
